"M","valence","par","item","study","TSlength","scale","MpD","pop","retro","TSlength_c","MpD_c"
1,1,33,4,1,202,1,6,0,0,101.14371257485,0.185714285714286
1,0,33,5,1,202,1,6,0,0,101.14371257485,0.185714285714286
1,0,33,6,1,202,1,6,0,0,101.14371257485,0.185714285714286
1,0,33,7,1,202,1,6,0,0,101.14371257485,0.185714285714286
1,0,33,8,1,202,1,6,0,0,101.14371257485,0.185714285714286
0,1,34,1,1,163,1,6,0,0,62.1437125748503,0.185714285714286
0,1,34,2,1,163,1,6,0,0,62.1437125748503,0.185714285714286
0,1,34,3,1,163,1,6,0,0,62.1437125748503,0.185714285714286
0,1,34,4,1,163,1,6,0,0,62.1437125748503,0.185714285714286
1,0,34,5,1,163,1,6,0,0,62.1437125748503,0.185714285714286
0,0,34,6,1,163,1,6,0,0,62.1437125748503,0.185714285714286
0,0,34,7,1,163,1,6,0,0,62.1437125748503,0.185714285714286
0,0,34,8,1,163,1,6,0,0,62.1437125748503,0.185714285714286
0,1,35,1,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,1,35,2,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,1,35,3,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,1,35,4,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,0,35,5,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,0,35,6,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,0,35,7,1,159,1,6,0,0,58.1437125748503,0.185714285714286
0,0,35,8,1,159,1,6,0,0,58.1437125748503,0.185714285714286
1,1,36,1,1,179,1,6,0,0,78.1437125748503,0.185714285714286
1,1,36,2,1,179,1,6,0,0,78.1437125748503,0.185714285714286
1,1,36,3,1,179,1,6,0,0,78.1437125748503,0.185714285714286
1,1,36,4,1,179,1,6,0,0,78.1437125748503,0.185714285714286
1,0,36,5,1,179,1,6,0,0,78.1437125748503,0.185714285714286
0,0,36,6,1,179,1,6,0,0,78.1437125748503,0.185714285714286
1,0,36,7,1,179,1,6,0,0,78.1437125748503,0.185714285714286
0,0,36,8,1,179,1,6,0,0,78.1437125748503,0.185714285714286
0,1,37,1,1,182,1,6,0,0,81.1437125748503,0.185714285714286
0,1,37,2,1,182,1,6,0,0,81.1437125748503,0.185714285714286
0,1,37,3,1,182,1,6,0,0,81.1437125748503,0.185714285714286
0,1,37,4,1,182,1,6,0,0,81.1437125748503,0.185714285714286
0,0,37,5,1,182,1,6,0,0,81.1437125748503,0.185714285714286
1,0,37,6,1,182,1,6,0,0,81.1437125748503,0.185714285714286
0,0,37,7,1,182,1,6,0,0,81.1437125748503,0.185714285714286
1,0,37,8,1,182,1,6,0,0,81.1437125748503,0.185714285714286
1,1,38,1,1,151,1,6,0,0,50.1437125748503,0.185714285714286
1,1,38,2,1,151,1,6,0,0,50.1437125748503,0.185714285714286
1,1,38,3,1,151,1,6,0,0,50.1437125748503,0.185714285714286
1,1,38,4,1,151,1,6,0,0,50.1437125748503,0.185714285714286
1,0,38,5,1,151,1,6,0,0,50.1437125748503,0.185714285714286
1,0,38,6,1,151,1,6,0,0,50.1437125748503,0.185714285714286
1,0,38,7,1,151,1,6,0,0,50.1437125748503,0.185714285714286
1,0,38,8,1,151,1,6,0,0,50.1437125748503,0.185714285714286
0,1,39,1,1,175,1,6,0,0,74.1437125748503,0.185714285714286
0,1,39,2,1,175,1,6,0,0,74.1437125748503,0.185714285714286
1,1,39,3,1,175,1,6,0,0,74.1437125748503,0.185714285714286
1,1,39,4,1,175,1,6,0,0,74.1437125748503,0.185714285714286
0,0,39,5,1,175,1,6,0,0,74.1437125748503,0.185714285714286
0,0,39,6,1,175,1,6,0,0,74.1437125748503,0.185714285714286
0,0,39,7,1,175,1,6,0,0,74.1437125748503,0.185714285714286
1,0,39,8,1,175,1,6,0,0,74.1437125748503,0.185714285714286
0,1,40,1,1,117,1,6,0,0,16.1437125748503,0.185714285714286
1,1,40,2,1,117,1,6,0,0,16.1437125748503,0.185714285714286
1,1,40,3,1,117,1,6,0,0,16.1437125748503,0.185714285714286
0,1,40,4,1,117,1,6,0,0,16.1437125748503,0.185714285714286
1,0,40,5,1,117,1,6,0,0,16.1437125748503,0.185714285714286
1,0,40,6,1,117,1,6,0,0,16.1437125748503,0.185714285714286
1,0,40,7,1,117,1,6,0,0,16.1437125748503,0.185714285714286
1,0,40,8,1,117,1,6,0,0,16.1437125748503,0.185714285714286
0,1,41,1,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,1,41,2,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,1,41,3,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,1,41,4,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,0,41,5,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,0,41,6,1,184,1,6,0,0,83.1437125748503,0.185714285714286
0,0,41,7,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,0,41,8,1,184,1,6,0,0,83.1437125748503,0.185714285714286
1,1,42,1,1,182,1,6,0,0,81.1437125748503,0.185714285714286
1,1,42,2,1,182,1,6,0,0,81.1437125748503,0.185714285714286
1,1,42,3,1,182,1,6,0,0,81.1437125748503,0.185714285714286
1,1,42,4,1,182,1,6,0,0,81.1437125748503,0.185714285714286
1,0,42,5,1,182,1,6,0,0,81.1437125748503,0.185714285714286
